Data;Dia;Hora;BTN A;BTN B;BTN C;IP
16/set/2023;sáb;16:45;0,0297487;0,0287427;0,0277778;0,0000003
16/set/2023;sáb;17:00;0,0295259;0,0286034;0,0279024;0,0000003
16/set/2023;sáb;17:15;0,0293343;0,0285976;0,0281260;0,0000003
16/set/2023;sáb;17:30;0,0292420;0,0286225;0,0282973;0,0000003
16/set/2023;sáb;17:45;0,0292129;0,0286899;0,0284158;0,0000003
16/set/2023;sáb;18:00;0,0293242;0,0287971;0,0287800;0,0000003
16/set/2023;sáb;18:15;0,0294852;0,0288835;0,0292423;0,0000003
16/set/2023;sáb;18:30;0,0297194;0,0289759;0,0298415;0,0000003
16/set/2023;sáb;18:45;0,0299521;0,0290793;0,0304548;0,0000003
16/set/2023;sáb;19:00;0,0301981;0,0293905;0,0313332;0,0000003
16/set/2023;sáb;19:15;0,0304058;0,0297519;0,0323061;0,0000003
16/set/2023;sáb;19:30;0,0305903;0,0300579;0,0333085;0,0000003
16/set/2023;sáb;19:45;0,0307203;0,0303166;0,0342281;0,0024398
16/set/2023;sáb;20:00;0,0308557;0,0306367;0,0352762;0,0209434
16/set/2023;sáb;20:15;0,0308974;0,0309821;0,0359353;0,0540426
16/set/2023;sáb;20:30;0,0308884;0,0311610;0,0362016;0,0612744
16/set/2023;sáb;20:45;0,0307648;0,0308770;0,0358303;0,0612903
16/set/2023;sáb;21:00;0,0305319;0,0305420;0,0352304;0,0612903
16/set/2023;sáb;21:15;0,0302224;0,0301068;0,0344102;0,0612903
16/set/2023;sáb;21:30;0,0297787;0,0297637;0,0335740;0,0612903
16/set/2023;sáb;21:45;0,0292987;0,0293316;0,0327438;0,0612903
16/set/2023;sáb;22:00;0,0287165;0,0288807;0,0318752;0,0612903
16/set/2023;sáb;22:15;0,0281508;0,0284296;0,0310408;0,0612903
16/set/2023;sáb;22:30;0,0275275;0,0278242;0,0302813;0,0612903
16/set/2023;sáb;22:45;0,0268921;0,0272749;0,0295384;0,0612903
16/set/2023;sáb;23:00;0,0261873;0,0266344;0,0287199;0,0612903
16/set/2023;sáb;23:15;0,0254367;0,0259356;0,0277901;0,0612903
16/set/2023;sáb;23:30;0,0246430;0,0250907;0,0268571;0,0612903
16/set/2023;sáb;23:45;0,0237978;0,0242226;0,0258523;0,0612903
16/set/2023;sáb;24:00;0,0229730;0,0234132;0,0248254;0,0612903
17/set/2023;dom;00:15;0,0221705;0,0225952;0,0237841;0,0612903
17/set/2023;dom;00:30;0,0214208;0,0217281;0,0227868;0,0612903
17/set/2023;dom;00:45;0,0207664;0,0209568;0,0218817;0,0612903
17/set/2023;dom;01:00;0,0202327;0,0202309;0,0209982;0,0612903
17/set/2023;dom;01:15;0,0198378;0,0196763;0,0202476;0,0612903
17/set/2023;dom;01:30;0,0194857;0,0191428;0,0195537;0,0612903
17/set/2023;dom;01:45;0,0191694;0,0186868;0,0189983;0,0612903
17/set/2023;dom;02:00;0,0188702;0,0183221;0,0184941;0,0612903
17/set/2023;dom;02:15;0,0186459;0,0179473;0,0180511;0,0612903
17/set/2023;dom;02:30;0,0184144;0,0175693;0,0176283;0,0612903
17/set/2023;dom;02:45;0,0182348;0,0172319;0,0172657;0,0612903
17/set/2023;dom;03:00;0,0181280;0,0169918;0,0169518;0,0612903
17/set/2023;dom;03:15;0,0180910;0,0168017;0,0167428;0,0612903
17/set/2023;dom;03:30;0,0180294;0,0166492;0,0165972;0,0612903
17/set/2023;dom;03:45;0,0179135;0,0165357;0,0164582;0,0612903
17/set/2023;dom;04:00;0,0178239;0,0164906;0,0163234;0,0612903
17/set/2023;dom;04:15;0,0178381;0,0163649;0,0161858;0,0612903
17/set/2023;dom;04:30;0,0178977;0,0162458;0,0160700;0,0612903
17/set/2023;dom;04:45;0,0179462;0,0161646;0,0159947;0,0612903
17/set/2023;dom;05:00;0,0180046;0,0162056;0,0159633;0,0612903
17/set/2023;dom;05:15;0,0181282;0,0164072;0,0159894;0,0612903
17/set/2023;dom;05:30;0,0182422;0,0166096;0,0159958;0,0612903
17/set/2023;dom;05:45;0,0183323;0,0167909;0,0159509;0,0612903
17/set/2023;dom;06:00;0,0184816;0,0169994;0,0160091;0,0612903
17/set/2023;dom;06:15;0,0187026;0,0171733;0,0161764;0,0611995
17/set/2023;dom;06:30;0,0189545;0,0173331;0,0164898;0,0600889
17/set/2023;dom;06:45;0,0191367;0,0174931;0,0167425;0,0559413
17/set/2023;dom;07:00;0,0194585;0,0179185;0,0170275;0,0345342
17/set/2023;dom;07:15;0,0197813;0,0183794;0,0174026;0,0121211
